Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum
cuddle,7.6,0.99,20,3.83,2.96,23
cue,5.84,2.01,19,4.35,2.39,20
cuff,4.81,1.94,21,3.56,2.29,25
cuisine,6.88,1.73,41,4.51,2.82,47
culinary,6.33,1.88,21,4.5,2.3,22
culmination,5.85,1.57,20,3.43,2.62,21
culprit,2.9,1.52,20,5.54,2.69,24
cult,2.77,1.6,22,5.48,1.66,21
cultivate,5.73,1.58,22,3.81,2.58,21
cultural,6.9,1.41,20,4.55,1.57,20
culture,6.28,1.27,18,4.06,2.01,18
cultured,6.15,2.08,20,3.33,2.15,21
cunning,5.05,1.57,20,4.9,1.62,20
cunt,3.7,2.94,20,6.1,2.53,21
cup,5.94,2.04,18,2.6,2.01,20
cupboard,4.81,1.33,21,3.52,2.25,23
cupcake,6.9,1.58,21,4.22,2.54,23
curator,6.42,2.09,19,2.73,1.72,22
curb,4.65,1.35,20,3.59,2.15,22
curd,5.19,2.14,21,4.37,2.79,19
cure,7.81,1.33,21,4.5,2.76,22
curfew,4.14,1.67,22,4.0,2.47,23
curiosity,6.37,1.42,19,5.9,2.14,21
curious,6.58,1.2,40,5.74,2.12,915
curl,5.72,1.67,18,3.05,1.79,20
curling,5.0,1.65,20,4.43,1.89,21
currency,5.9,1.87,21,4.05,2.62,21
current,5.53,1.22,19,3.25,2.17,20
curriculum,5.3,1.69,20,3.56,2.36,18
curry,5.4,2.09,20,3.17,2.2,18
curse,2.9,2.17,21,5.2,2.38,20
curt,4.05,2.16,21,3.2,2.35,20
curtain,5.36,1.53,22,3.62,2.12,26
curtains,5.44,1.45,41,2.63,1.83,19
curtsy,6.35,1.42,20,4.6,2.44,20
curve,5.81,1.97,21,4.52,2.0,23
curved,5.24,1.14,21,3.91,2.69,22
cushion,5.9,1.61,21,2.76,1.55,21
cushy,5.95,1.54,20,4.23,2.74,22
cuss,4.0,2.13,20,6.25,2.34,20
custard,5.45,1.73,20,3.5,2.15,22
custodial,5.05,1.66,21,3.42,2.7,24
custodian,3.79,1.51,19,2.67,1.74,21
custody,4.74,1.79,19,4.14,2.8,22
custom,5.29,1.7,42,4.0,2.07,21
customary,5.0,1.11,19,3.44,1.69,18
customer,5.86,1.49,21,3.4,2.06,25
customized,6.91,1.54,22,4.87,2.65,23
cut,3.9,1.84,40,5.07,2.43,46
cute,7.56,1.07,41,5.05,2.82,21
cutie,7.43,1.29,21,4.62,2.4,21
cutlass,5.0,1.41,20,4.55,1.84,22
cutoff,3.14,1.46,21,3.92,1.69,24
cutter,4.05,1.62,22,4.35,2.42,26
cutthroat,3.14,1.77,21,5.65,2.19,23
cutting board,5.35,1.6,20,3.83,2.66,18
cyanide,2.7,1.45,20,5.72,2.67,18
cyberspace,5.73,1.7,22,5.04,2.7,23
cycle,5.64,1.36,22,4.42,2.29,19
cyclone,3.47,1.8,43,5.09,2.72,47
cylinder,5.45,1.15,20,3.14,2.08,22
cynic,3.45,1.92,22,4.68,1.67,19
cynical,3.3,1.45,20,4.78,2.73,18
cynicism,3.41,1.62,22,5.0,2.47,22
cyst,2.5,1.5,22,4.28,2.28,25
cystic,3.19,1.6,21,3.55,2.32,22
czar,4.53,1.78,19,4.79,2.86,24
dab,5.0,1.45,20,3.11,1.91,18
dabble,5.48,1.57,21,3.05,1.99,21
dad,7.14,2.17,22,4.05,2.52,21
daddy,7.27,1.98,22,4.24,2.7,21
daft,4.5,1.28,20,2.75,1.68,20
dagger,4.38,1.8,21,5.79,2.36,43
daily,5.74,1.88,19,4.2,2.48,20
dainty,6.42,1.74,19,2.7,1.84,20
daiquiri,5.68,1.8,19,4.95,2.31,20
dairy,6.09,1.66,22,3.9,2.34,21
daisy,7.48,1.72,21,3.95,2.76,19
dam,4.58,0.96,19,3.67,2.13,21
damage,2.98,1.67,42,4.86,2.61,43
dame,6.1,1.8,20,4.22,2.67,18
damn,4.32,1.78,22,5.1,2.47,21
damnation,3.14,2.15,21,5.77,1.93,22
damp,4.05,1.32,20,2.8,1.99,20
damper,4.3,1.61,23,3.59,2.04,22
damsel,5.74,1.73,19,4.44,2.31,18
dance,7.27,1.49,22,5.48,2.62,21
dancer,6.64,1.71,39,4.52,2.44,42
dandruff,3.05,1.99,19,4.41,2.15,22
dandy,6.55,1.76,20,4.0,1.87,21
danger,2.66,1.7,41,5.84,2.74,44
dangerous,2.33,1.88,18,6.81,2.34,21
dangle,4.76,2.17,21,4.25,2.53,20
dank,3.95,1.64,20,3.0,1.78,20
dare,4.67,1.85,18,5.6,2.64,20
daredevil,4.89,1.49,19,6.33,2.18,21
daresay,5.35,1.79,20,3.76,2.55,21
daring,6.0,1.53,19,6.14,1.9,21
dark,5.08,1.8,40,4.09,2.43,22
darken,4.45,1.43,20,3.86,2.22,21
darkened,3.37,1.5,19,3.77,2.11,22
darkness,4.71,1.93,21,4.08,2.04,25
darkroom,4.9,1.94,20,3.61,1.73,23
darling,7.32,1.29,22,3.95,2.33,21
darn,3.81,1.81,21,3.17,2.37,23
dart,4.76,1.79,21,3.87,2.58,23
dash,5.05,1.43,20,4.29,2.07,24
dashboard,5.25,1.21,20,3.15,1.87,20
dashing,6.62,1.77,21,4.28,2.56,25
database,4.75,1.89,20,3.33,2.33,18
date,7.18,1.5,22,4.33,2.5,21
daughter,6.73,2.33,22,5.0,2.63,21
dawdle,4.77,1.48,22,3.29,1.9,21
dawn,6.74,1.84,42,3.1,2.22,20
day,6.36,1.4,22,3.62,2.31,21
daybreak,7.16,1.46,19,3.95,2.4,21
daycare,5.35,1.87,20,3.39,2.43,18
daydream,7.15,1.57,20,3.2,2.4,20
daylight,6.95,1.48,41,4.05,2.84,20
daytime,7.58,1.3,19,4.0,2.61,23
daze,4.14,2.01,22,4.5,2.8,26
dazzle,6.46,1.87,41,4.96,2.5,46
dazzling,6.5,1.37,22,6.36,2.42,22
deacon,5.09,1.6,22,3.87,2.32,23
deactivate,3.95,1.36,20,4.58,2.76,24
dead,2.02,1.39,42,3.91,2.15,23
deadbeat,2.81,1.66,21,4.32,2.23,22
deadline,3.19,1.4,21,5.74,2.56,23
deadly,1.9,1.17,20,5.04,2.75,23
deaf,3.19,2.18,21,4.27,2.41,22
deafening,3.71,1.9,21,4.56,2.65,25
deal,6.14,1.52,22,3.9,2.39,21
dealer,4.18,1.99,22,5.42,2.24,19
dealership,5.15,1.63,20,2.9,1.83,20
death,1.89,1.24,19,5.53,2.62,43
deathbed,1.79,1.87,19,4.05,2.77,22
deathly,1.95,1.18,19,6.05,2.33,20
debacle,4.2,2.02,20,4.78,2.24,23
debatable,5.62,1.53,21,5.8,2.4,20
debate,4.95,1.39,20,4.86,2.41,21
debauchery,4.21,2.2,19,5.28,2.4,18
debilitating,3.0,2.16,19,4.41,2.58,22
debrief,4.59,1.4,22,3.61,2.29,23
debriefing,5.05,1.82,20,3.48,1.47,21
debris,4.2,1.74,20,4.23,2.29,22
debt,1.95,0.97,21,5.93,2.58,43
debut,5.81,1.89,21,3.41,1.99,22
debutante,5.0,1.56,20,4.23,1.88,22
decade,4.75,1.77,20,3.61,2.52,18
decadence,5.21,2.66,19,4.32,2.5,22
decadent,6.09,1.41,22,4.05,2.52,21
decaf,3.62,1.88,21,3.0,1.97,20
decathlon,4.67,1.33,18,4.5,2.71,18
decay,2.4,1.57,20,4.59,2.59,22
decaying,2.81,2.11,21,4.68,2.4,19
deceased,2.73,2.07,22,4.86,2.94,21
decedent,5.3,1.84,20,3.15,1.93,20
deceit,2.89,2.02,19,5.62,1.94,21
deceitful,2.6,1.67,20,5.18,2.56,22
deceive,2.95,1.43,21,5.9,2.17,20
decency,5.55,2.01,20,3.36,1.65,22
decent,6.27,1.8,22,4.15,2.62,20
deception,2.36,1.14,22,5.79,2.37,19
deceptive,3.73,1.86,22,4.95,2.77,21
decide,6.28,1.87,18,3.1,2.47,20
decimal,4.68,1.17,22,3.35,2.3,26
decimeter,4.82,1.22,22,2.5,1.7,20
decipher,5.09,1.15,22,4.39,2.52,23
decision,5.5,1.86,18,3.43,2.38,21
decisive,6.78,1.52,18,3.95,2.46,20
deck,5.68,1.67,22,3.25,2.31,20
declaration,5.67,1.53,21,4.24,2.36,21
declare,5.42,1.07,19,4.4,1.98,20
decline,3.19,1.4,21,3.6,2.5,20
deco,5.29,1.98,21,3.74,2.03,23
decode,5.5,1.43,20,4.59,2.36,22
decoder,6.21,1.65,19,3.43,2.42,21
decompose,2.42,1.26,19,4.17,2.23,18
decomposition,3.16,1.74,19,4.0,2.55,24
decompress,4.43,1.57,21,3.52,2.37,25
decompression,3.75,2.0,20,2.91,2.13,23
decontamination,4.33,2.31,21,4.96,2.29,23
decor,5.95,1.59,22,3.38,2.06,21
decorate,6.26,1.59,38,4.33,2.46,21
decoration,6.71,1.82,21,4.05,2.22,21
decorative,7.52,1.47,21,4.76,2.26,25
decorator,6.43,1.57,21,3.15,1.79,20
decorum,5.5,1.85,20,2.91,1.87,22
decoy,4.61,1.12,23,3.91,2.18,22
decrease,4.16,1.42,19,3.05,1.81,22
decree,5.33,1.65,21,3.9,2.63,20
decrepit,3.05,1.5,20,4.83,2.53,23
decryption,4.81,1.75,21,4.12,2.59,25
dedicate,6.48,1.5,21,3.35,2.18,20
dedication,7.38,1.02,21,4.36,2.18,25
deduce,5.29,1.31,21,3.04,2.22,24
deduct,4.24,2.05,21,4.11,2.18,19
deductible,4.71,2.03,21,4.29,2.46,24
deduction,5.14,1.96,21,3.23,2.02,22
deed,5.89,1.37,18,3.0,1.59,20
deejay,5.91,1.78,23,3.95,2.5,22
deem,4.74,1.28,19,3.29,1.65,21
deep,5.44,1.79,18,3.9,2.76,21
deer,6.89,1.49,19,3.95,2.42,22
defamation,2.9,1.41,20,5.62,1.94,21
default,4.16,1.42,19,4.57,2.25,21
defeat,3.74,1.79,19,4.14,2.49,22
defeated,2.59,1.64,37,4.73,2.37,22
defeatist,3.37,0.96,19,3.5,2.18,18
defect,2.89,1.56,19,4.14,2.8,22
defective,3.52,1.83,21,4.17,2.39,23
defector,4.35,1.58,17,3.75,2.84,20
defend,6.3,1.84,20,4.55,2.26,20
defendant,4.05,1.51,19,4.14,2.43,21
defender,5.05,2.25,19,3.76,1.97,21
defense,5.36,1.84,22,5.11,2.62,19
defenseless,2.68,1.42,19,4.9,2.07,20
defensive,4.65,1.81,20,4.28,2.95,18
defer,4.5,1.04,18,2.7,2.03,20
defiance,4.15,1.9,20,5.86,2.33,21
defiant,4.12,2.15,40,5.9,1.64,21
defibrillator,3.45,1.68,22,5.0,2.31,22
deficiency,2.74,1.24,19,4.2,2.53,20
deficient,3.63,1.21,19,3.56,2.01,18
deficit,2.95,1.83,21,4.19,2.56,21
define,5.57,1.57,21,3.95,2.5,20
definite,5.79,1.18,19,4.19,1.94,21
definition,5.63,2.09,19,3.14,2.44,22
definitive,5.57,1.89,21,3.83,1.77,23
deflect,5.1,1.22,21,3.68,2.48,25
deformed,2.26,1.1,19,4.27,2.19,45
deformity,3.18,1.65,22,4.71,2.39,21
defrost,4.86,1.49,21,3.48,2.27,23
deft,4.67,1.71,21,3.0,2.25,20
defuse,5.78,2.32,18,4.68,2.15,22
defy,4.84,1.46,19,5.43,2.18,21
degenerate,2.7,1.3,20,4.68,2.36,19
degeneration,3.48,1.57,21,4.18,2.3,22
degradation,2.85,1.09,20,4.26,2.54,23
degrade,2.62,1.16,21,4.95,2.44,21
degree,5.63,1.12,19,4.1,1.92,21
dehydration,3.38,1.96,21,4.68,2.82,25
delay,3.45,1.76,20,3.0,2.29,20
delayed,3.05,1.39,19,4.05,2.25,43
delegate,5.15,1.5,20,3.72,2.35,18
delegation,5.2,0.89,20,3.62,1.8,21
delete,4.0,1.52,20,3.71,2.24,21
deli,5.42,2.12,24,4.3,2.29,23
deliberate,4.8,1.06,20,3.48,2.18,21
deliberation,5.19,1.54,21,3.95,2.84,20
delicacy,7.0,1.67,21,5.0,2.62,24
delicate,6.38,1.69,21,3.09,2.21,23
delicatessen,6.4,1.7,20,4.45,2.86,20
delicious,7.38,1.83,21,4.92,2.92,24
delight,8.21,0.92,19,5.02,2.69,43
delighted,7.74,1.05,19,5.0,2.28,21
delightful,7.38,1.83,21,6.16,2.75,19
delinquency,2.55,1.23,20,5.27,2.1,22
delinquent,3.45,1.57,20,4.9,2.43,20
delirious,4.32,1.49,19,5.81,2.46,21
delirium,3.4,1.6,20,4.94,2.82,18
deliver,6.0,2.0,22,4.75,2.31,20
deliverance,5.73,1.93,22,3.95,2.29,21
delivery,6.0,1.14,18,4.04,2.27,24
delta,5.3,1.45,20,3.32,2.15,22
delude,3.62,1.2,21,3.95,2.08,22
deluge,4.1,1.89,21,4.7,2.49,23
delusion,3.3,1.84,20,4.6,2.19,20
delusional,3.29,2.12,21,5.8,1.94,20
deluxe,6.76,1.58,21,4.96,2.35,25
demand,4.1,1.73,21,5.85,2.06,20
demeaning,2.62,1.28,21,3.74,2.53,23
demeanor,5.32,1.57,19,2.9,1.58,21
demented,3.11,1.79,19,4.86,2.4,22
dementia,2.85,1.57,20,5.05,2.46,22
demise,3.0,1.67,19,4.18,2.13,22
demo,5.65,1.63,20,3.91,2.02,22
democracy,6.16,2.57,19,5.05,2.48,22
democrat,5.54,2.36,24,5.65,2.5,20
democratic,5.7,1.63,20,4.33,2.35,21
demographic,4.41,1.74,22,3.73,2.03,22
demolish,2.67,1.74,21,4.5,1.82,24
demolition,3.91,2.24,22,5.23,2.67,26
demon,3.0,2.32,40,5.34,2.8,47
demonic,3.05,2.33,20,6.24,2.07,21
demonstrate,5.47,2.12,19,4.14,3.0,21
demonstration,5.5,1.29,18,3.53,1.9,19
demure,4.55,1.15,20,3.35,2.06,23
den,5.11,1.7,19,2.86,1.88,22
deniability,3.89,1.49,18,4.5,2.47,24
denial,3.57,1.78,21,4.85,2.46,20
denim,6.0,1.63,19,3.67,2.18,21
denominator,4.61,1.67,23,4.09,2.45,22
denounce,4.24,1.55,21,4.08,2.56,25
dense,4.68,1.83,19,3.59,1.53,22
density,5.15,0.99,20,3.55,2.44,20
dent,3.52,1.21,21,3.46,2.75,24
dental,4.73,2.05,22,4.79,2.18,19
dentist,3.84,1.81,38,4.37,2.58,38
deny,3.81,1.72,21,5.63,2.39,19
deodorant,6.09,1.72,22,3.73,2.05,26
depart,4.05,1.5,20,3.9,2.29,20
department,5.33,1.46,18,2.5,1.82,20
departmental,4.67,1.11,21,4.12,2.63,24
departure,4.05,1.66,21,3.65,2.85,20
depend,5.0,1.63,22,4.45,2.21,20
dependable,7.24,1.34,21,3.5,3.06,24
dependence,3.6,1.57,20,3.55,1.63,22
dependency,3.71,2.24,21,4.26,2.34,23
dependent,4.5,1.73,20,3.73,2.27,22
depict,4.74,1.33,19,3.88,1.96,17
deplorable,3.9,2.15,20,4.73,2.19,22
deploy,4.25,1.97,20,4.96,2.36,23
deployment,3.32,1.8,19,5.95,2.19,20
deport,3.14,1.71,21,3.84,2.36,19
deportation,3.57,2.04,21,4.42,2.3,26
depose,4.2,1.61,20,4.3,2.03,20
deposit,6.25,2.05,20,4.5,2.63,22
deposition,3.53,1.71,19,4.18,2.2,22
depository,4.76,1.67,21,4.05,2.76,20
depot,5.18,1.53,22,3.19,1.94,21
depravity,3.05,1.65,19,4.36,2.87,22
depress,2.47,2.01,19,3.14,1.46,22
depressed,2.27,1.48,40,4.25,3.24,20
depressing,2.48,1.69,21,3.0,2.11,19
depression,2.44,1.87,43,5.2,2.09,20
depressive,2.64,1.4,22,3.48,2.38,21
deprivation,2.58,1.5,19,4.57,1.91,21
deprive,3.37,1.3,19,3.72,2.19,18
depth,5.8,1.32,20,4.35,2.3,20
deputy,5.3,1.42,20,4.05,2.31,21
derail,3.86,1.56,21,4.85,2.87,20
derelict,3.78,1.75,41,4.4,2.57,43
derivative,4.7,1.95,20,3.72,2.35,18
derive,4.72,2.05,18,2.9,1.92,20
dermatologist,6.0,1.94,19,3.61,2.29,23
derogatory,2.7,1.34,20,3.95,2.06,20
descend,4.67,1.2,21,3.17,2.37,24
descendant,5.26,1.94,19,4.24,1.73,21
descent,5.3,1.75,20,3.9,2.19,21
describe,5.9,1.12,20,2.95,1.85,20
description,5.24,1.51,21,3.64,2.13,22
descriptive,5.74,1.79,19,3.45,2.13,22
desecrate,3.05,1.43,20,4.12,2.76,24
desecration,2.94,1.71,17,5.1,2.77,20
desert,5.36,2.75,22,3.5,2.33,20
deserter,3.27,1.84,40,4.97,2.28,40
desertion,4.0,1.58,21,3.67,2.58,24
deserve,6.77,2.02,22,4.5,1.88,20
deserving,6.7,1.56,20,4.35,2.19,26
design,6.8,1.77,20,3.95,2.65,21
designate,5.62,1.66,21,4.6,2.74,20
designated,5.1,1.26,21,3.85,1.93,20
designer,5.57,2.2,21,5.0,2.64,20
desirable,6.95,1.58,19,6.25,2.69,20
desire,7.05,1.75,19,6.2,2.33,20
desist,4.27,1.72,22,3.84,1.83,19
desk,5.56,1.72,18,2.45,1.67,20
desolate,2.95,1.65,19,3.22,1.8,18
desolation,2.91,1.41,22,4.04,2.2,26
despair,3.61,2.08,23,4.64,2.63,22
despairing,3.0,1.91,43,4.91,2.07,22
desperado,4.4,1.23,20,3.41,2.4,17
desperate,3.19,1.47,21,5.0,2.52,23
desperation,2.55,1.39,20,6.3,2.43,20
despicable,2.76,1.45,21,4.86,2.42,22
despise,3.08,1.58,39,4.77,2.22,22
despondent,3.81,1.54,21,4.64,2.34,22
dessert,7.2,1.7,20,5.5,3.11,18
destination,6.4,1.19,20,4.57,2.87,21
destiny,6.73,1.91,22,4.76,2.55,21
destitute,2.11,1.41,19,4.2,2.14,20
destroy,2.67,2.3,18,5.16,2.85,45
destroyer,2.16,1.38,19,6.09,2.33,22
destruct,3.5,1.57,22,6.09,2.47,23
destruction,2.53,1.17,19,5.62,2.6,45
destructive,3.11,1.66,19,6.38,1.56,21
detach,4.5,1.77,22,3.19,1.94,21
detached,3.65,1.31,20,3.6,2.38,47
detachment,4.3,1.56,20,3.32,2.44,22
detail,5.67,1.79,40,3.81,2.09,21
detailed,6.1,1.73,21,4.35,2.28,20
detain,3.0,1.38,21,4.25,2.36,20
detect,5.09,1.19,22,4.57,2.56,23
detection,4.63,1.21,19,3.95,2.09,21
detective,5.06,1.95,18,4.55,2.58,20
detector,4.42,0.84,19,4.52,1.97,21
detention,3.28,1.99,18,4.57,2.52,21
deter,4.05,1.22,19,3.86,1.82,21
detergent,5.42,1.46,19,3.25,2.38,20
deteriorate,3.64,1.56,22,4.86,2.55,22
deteriorating,2.63,1.3,19,5.52,2.15,23
deterioration,2.89,1.41,19,5.0,2.35,21
determination,7.58,1.35,19,5.52,2.23,23
determine,6.0,1.86,19,4.68,2.51,22
deterrent,4.58,1.61,19,4.23,2.05,22
detest,3.05,1.61,19,5.09,2.09,22
detonate,3.26,1.63,19,6.1,2.49,21
detonation,3.4,1.76,20,4.83,2.58,24
detonator,4.3,1.66,20,5.39,2.27,23
detour,3.86,1.93,22,4.58,2.29,19
detriment,3.67,1.77,21,4.4,2.7,20
deuce,4.53,2.06,19,3.5,1.82,22
deutschmark,4.42,2.24,19,3.23,2.52,22
devastating,2.09,1.31,22,5.5,2.69,26
devastation,2.91,2.07,22,5.48,2.46,21
develop,6.05,1.18,19,4.5,2.09,22
developer,5.89,1.15,19,3.75,2.53,20
development,5.25,1.45,20,4.23,2.16,22
deviant,3.35,1.53,20,5.62,2.09,21
deviate,5.1,1.79,21,4.27,2.43,22
deviation,4.9,1.45,21,4.7,2.56,20
device,5.79,1.65,19,3.42,2.34,19
devil,3.11,2.45,36,5.4,3.06,43
deviled,3.37,1.67,19,4.24,2.17,21
devilish,4.22,2.26,18,6.38,2.2,24
devious,3.57,1.66,21,3.83,2.62,23
devise,4.45,1.23,20,4.48,2.02,21
devoid,3.61,1.33,18,3.22,1.83,18
devote,5.53,2.17,19,4.05,1.94,22
devoted,7.16,1.71,19,4.22,2.11,23
devotion,6.0,1.83,22,4.73,2.49,22
devour,5.21,1.87,19,6.06,2.36,18
devout,4.48,2.04,21,4.13,2.3,23
dew,4.79,1.75,19,3.04,1.8,23
dexterity,6.35,1.37,17,3.26,2.23,19
diabetes,2.74,2.35,19,4.04,2.42,23
diabetic,3.0,1.72,24,3.86,2.25,22
diabolical,3.23,1.69,22,5.32,2.98,22
diagnose,5.0,1.2,19,3.72,2.11,18
diagnosis,4.62,1.77,21,4.0,2.7,21
diagnostic,4.81,1.97,21,4.57,1.83,23
diagonal,5.17,0.71,18,3.29,1.82,21
diagram,5.47,0.84,19,3.71,1.74,21
dial,4.63,1.54,19,3.76,1.87,21
dialect,6.0,1.41,20,4.26,2.38,19
dialogue,6.25,1.89,20,2.86,1.9,21
dialysis,3.24,1.89,21,4.91,2.23,23
diameter,4.76,1.34,21,4.04,1.87,23
diamond,6.88,1.99,40,5.82,2.57,45
diaper,3.71,1.74,21,3.41,1.87,22
diaphragm,4.67,1.65,21,3.96,2.5,23
diarrhea,2.1,1.8,20,6.85,2.03,20
diary,6.0,1.2,19,3.73,2.19,22
dib,5.0,1.7,19,3.05,2.11,20
dibs,5.21,1.75,19,4.62,2.11,21
dice,5.8,1.15,20,4.64,2.17,22
dicey,4.24,1.79,21,4.7,2.05,20
dick,3.06,1.76,18,5.6,2.96,20
dickhead,2.6,1.96,20,5.26,2.08,19
dictate,4.4,1.88,20,3.24,2.0,21
dictation,4.26,1.37,19,2.94,2.01,18
dictator,2.77,2.18,22,5.5,2.44,22
dictatorship,2.62,1.96,21,6.38,1.75,21
diction,4.85,1.27,20,3.73,2.25,22
dictionary,6.05,2.04,20,2.91,1.95,23
diddle,4.75,1.77,20,3.15,1.9,20
die,1.67,1.65,21,6.9,2.21,21
diesel,4.32,1.53,19,3.78,1.96,18
diet,4.42,1.3,19,3.83,2.09,18
differ,5.1,1.97,21,3.26,2.43,23
difference,4.89,1.75,18,3.15,2.23,20
different,5.91,1.8,22,3.95,2.2,21
differential,4.0,1.54,22,3.62,2.13,21
difficult,3.78,1.7,18,4.45,2.35,20
difficulty,2.57,1.6,21,4.21,2.62,19
diffuse,5.04,1.69,23,3.86,2.53,22
dig,5.28,1.81,18,3.67,2.59,21
digest,4.74,1.76,23,2.9,1.7,21
digestion,4.5,1.22,22,3.86,2.32,22
digestive,5.0,1.3,21,4.0,2.25,20
digit,4.84,1.46,19,3.05,1.83,21
digital,6.0,2.1,21,4.36,2.22,25
dignified,6.55,1.56,42,3.48,2.06,42
dignify,5.68,2.03,19,4.24,2.05,21
dignity,7.2,1.47,20,3.71,1.98,21
dike,4.22,2.1,18,4.85,2.78,20
dilation,5.16,1.57,19,4.14,1.96,22
dildo,4.57,2.86,21,5.09,2.65,22
dilemma,4.24,2.32,21,5.19,2.56,21
diligence,5.68,1.57,19,4.63,2.45,19
diligent,6.14,1.59,21,4.33,2.82,24
dill,5.85,2.03,20,3.25,2.2,20
dim,3.37,1.38,19,3.55,2.31,20
dime,5.58,1.89,19,3.52,2.34,21
dimension,5.24,1.73,21,3.73,2.05,22
dimensional,6.16,1.5,19,3.41,2.3,22
diminish,4.05,1.15,20,3.87,1.87,23
diminutive,4.42,1.92,19,3.5,2.16,20
dimwit,3.48,2.09,21,3.5,2.11,22
dine,6.6,1.1,20,4.0,2.08,20
diner,6.75,1.52,20,4.04,2.33,23
dinghy,4.82,1.76,22,4.17,2.12,18
dingo,5.65,1.76,20,4.25,2.07,20
dingy,3.45,1.63,22,4.57,2.54,23
dining,6.77,1.38,22,4.7,2.57,23
dinky,4.1,1.29,20,3.67,2.03,21
dinner,6.4,2.02,42,3.85,2.34,47
dinnertime,6.58,1.95,19,5.2,2.53,20
dinosaur,6.11,0.96,18,5.33,2.03,18
diocese,5.05,1.53,21,4.0,2.37,26
dioxide,4.58,1.5,19,3.95,2.44,22
dip,5.42,1.98,19,3.35,2.16,20
diploma,6.32,1.68,41,5.25,2.4,20
diplomacy,5.53,2.48,19,5.22,2.13,23
diplomat,4.65,1.76,20,3.65,2.01,23
diplomatic,5.9,1.87,21,4.45,2.04,20
dipper,5.39,1.73,23,3.36,1.97,22
dippy,4.26,2.0,19,4.32,2.15,22
dipstick,4.09,1.44,22,3.52,2.16,21
dire,3.0,1.25,19,5.0,2.14,21
direct,5.75,1.33,20,4.29,1.9,21
direction,5.45,1.36,20,3.33,2.22,18
directive,5.7,1.34,20,4.3,2.29,23
director,4.95,1.43,22,3.75,2.27,20
directory,5.21,2.18,19,3.33,1.98,21
dirt,4.5,1.79,20,3.44,2.13,41
dirty,3.17,1.89,42,5.05,2.18,21
disability,2.95,1.22,19,3.9,1.62,20
disable,3.58,1.71,19,3.6,1.7,20
disabled,2.7,1.15,23,3.71,2.05,21
disadvantage,2.68,1.42,19,3.9,1.71,20
disagree,2.84,1.17,19,4.9,2.07,20
disagreeable,3.29,2.0,21,4.26,2.6,23
disagreement,2.86,1.9,21,3.91,2.54,23
disappear,4.1,2.28,21,4.35,2.56,20
disappearance,3.75,1.65,20,4.95,2.25,21
disappoint,3.38,1.76,39,3.91,2.04,43
disappointed,2.65,1.62,17,4.47,2.37,19
disappointing,2.79,1.13,19,4.1,2.23,21
disappointment,2.79,1.87,19,4.9,2.63,20
disapproval,3.4,1.82,20,4.23,2.22,22
disapprove,3.55,0.94,20,3.81,2.4,21
disarm,4.38,2.11,21,3.7,2.55,23
disaster,1.71,1.06,21,6.35,2.59,23
disastrous,2.21,1.93,19,4.23,2.47,22
disband,4.0,1.34,20,3.38,2.01,21
disbelief,4.21,1.65,19,5.58,2.27,19
disc,5.6,1.85,20,3.56,2.43,18
discard,4.0,1.28,23,3.71,1.9,21
discerning,4.95,1.79,22,4.26,2.24,23
discharge,3.4,1.54,20,4.94,2.11,17
disciple,4.67,1.68,18,3.52,2.14,21
disciplinary,3.6,1.64,20,4.56,3.07,18
discipline,5.9,2.31,20,5.8,2.21,20
disciplined,6.15,1.79,20,4.4,2.44,20
disclose,4.0,1.65,20,4.45,2.24,20
disclosure,4.71,1.95,21,3.15,2.03,20
disco,5.76,2.32,21,5.25,2.36,20
discoloration,3.82,1.71,22,4.05,2.31,21
discomfort,2.84,0.83,19,4.43,2.42,42
disconcerting,3.58,1.74,19,4.36,2.52,22
disconnect,3.81,1.29,21,3.12,2.49,24
discontent,2.75,1.12,20,4.67,2.93,18
discontinue,3.94,1.21,18,3.89,2.11,18
discord,3.58,1.77,19,5.43,1.86,21
discount,5.78,2.44,18,4.62,2.5,24
discourage,3.05,1.16,21,3.73,2.35,22
discouraged,3.18,1.27,38,3.38,2.38,39
discouraging,2.89,2.13,19,4.17,2.37,23
discourse,3.18,1.71,22,4.27,2.57,22
discover,7.18,1.44,22,5.7,3.01,20
discovery,6.81,2.06,21,6.04,2.53,23
discredit,3.14,1.25,22,4.05,2.44,21
discreet,5.05,1.9,19,3.4,2.39,20
discrepancy,3.43,1.57,21,3.75,2.67,20
discretion,5.4,1.39,20,3.57,2.04,21
discretionary,5.53,1.68,19,3.0,2.05,22
discriminate,3.18,1.87,22,4.05,2.29,21
discriminating,2.33,1.15,21,4.78,2.54,23
discrimination,2.45,1.43,20,5.62,2.55,24
discuss,5.89,1.97,18,2.76,2.45,21
discussion,6.18,1.33,22,5.0,2.52,19
disdain,3.71,1.31,21,3.21,2.26,24
disdainful,3.13,1.47,39,4.7,2.38,43
disease,1.68,0.89,19,5.5,2.31,20
diseased,2.24,1.34,21,5.48,2.52,21
disembodied,3.73,1.7,22,5.5,2.69,26
disengage,4.05,1.28,21,3.95,1.75,21
disgrace,2.45,1.19,20,4.28,2.49,25
disgraceful,2.35,1.35,20,4.08,2.53,25
disgruntled,3.11,1.85,19,3.55,2.65,22
disguise,4.81,1.99,21,4.36,2.34,22
