Word,Word type,new AoA,Frequency
hers,F,218,1.4302
herself,F,311,2.3509
hesitate,V,441,1.4795
hid,V,240,2.0034
hideous,A,489,1.0145
hiding,N,372,0.5599
high,A,247,2.5953
hike,V,432,0.5539
him,F,221,3.4006
himself,F,310,2.7068
hinder,V,450,0.6812
hindi,N,633,-0.1739
hindu,N,611,0.42
hint,N,448,1.3235
hippopotamus,N,355,0.1271
hire,V,471,1.4915
his,F,206,3.7464
hiss,V,327,0.943
hit,V,230,2.0005
hither,F,508,0.1931
hole,N,221,1.9628
holiday,N,297,1.9333
holiday,V,381,-0.2115
holland,N,456,1.129
home,F,217,2.1983
home,N,269,2.5322
hone,V,577,-0.0757
honed,A,585,-0.0757
honest,A,357,1.556
honesty,N,370,0.9458
hong kong,N,529,-1.5539
honour,V,488,1.1485
hoot,V,392,0.4955
hoover,V,437,-0.4685
hope,N,357,1.9049
hope,V,350,2.3578
horrendous,A,549,0.1931
horse,N,208,2.1223
host,N,508,1.4285
hot,A,172,2.1618
hour,N,273,2.5763
house,N,189,2.7831
househusband,N,631,-1.5539
housewife,N,441,1.1605
housework,N,385,0.871
how,F,273,2.8656
however,F,417,-1.5539
howl,V,324,0.9951
howsoever,F,557,-1.2218
huff,N,404,-0.1739
hug,V,245,1.0546
huge,A,325,2.0338
humanitarianism,N,650,-0.2147
humanity,N,611,1.2709
humour,N,478,1.3796
hungary,N,551,-1.5539
hunt,V,366,1.4581
hurdle,V,497,-0.2986
hurl,V,441,1.0973
hurry,V,299,1.6021
hurt,N,251,0.2385
hurt,V,258,1.8278
hurtful,A,407,0.0253
husband,N,328,2.1884
hutterite,N,652,-1.5539
hydrology,N,652,-1.5539
hyena,N,513,0.616
hyperactivity,N,624,-1.5539
i,F,169,4.0441
iberia,N,626,-0.4685
ice,N,253,1.7221
ice,V,377,0.4953
iceland,N,496,0.3802
idea,N,348,2.6004
idiocy,N,579,0.2253
if,F,236,3.4789
ignorance,N,485,1.2761
ignore,V,430,1.8489
iguana,N,595,0.0899
ill,A,269,1.7688
ill,N,555,0.6767
illness,N,317,1.6039
imagine,V,374,2.0937
immaterial,A,584,0.1461
immediately,ADV,403,2.0846
impel,V,584,0.4955
implication,N,593,1.5275
implode,V,624,-1.5539
implore,V,555,0.525
improve,V,427,1.9737
improved,A,421,1.9737
in,F,205,4.2673
inch,N,308,1.7802
including,A,412,2.1081
increase,V,407,2.3641
independent,N,533,-0.1737
india,N,478,1.7769
indifference,N,582,1.0715
indigo,N,542,0.1614
infatuate,V,606,-1.5539
infatuated,A,608,-0.2518
infection,N,434,1.3866
infer,V,593,0.6395
inform,V,458,1.5641
inish,V,313,2.0989
injure,V,385,1.0026
inside,N,255,1.2413
insist,V,423,1.8911
instance,N,474,2.0759
instant,N,427,1.1973
instantly,ADV,432,1.3269
instigate,V,608,0.3385
instruction,N,422,1.6615
instructor,N,445,0.8577
instrument,N,379,1.6117
insult,N,452,1.1381
insult,V,456,1.0143
integrity,N,605,1.0282
intent,N,553,0.9671
interest,N,407,2.459
interest,V,441,0.8807
interpret,V,538,1.4089
into,F,260,3.2966
intolerance,N,570,0.3263
intrigue,V,594,1.0795
intrigued,A,590,-1.5539
introduce,V,469,1.9583
invent,V,420,1.5209
invigorate,V,577,0.2529
invite,N,394,0.2923
invite,V,353,1.8157
involve,V,473,2.3245
ira,N,596,1.3393
iran,N,613,1.0282
iraq,N,609,0.7513
ireland,N,437,1.5897
irish,N,430,0.1072
irk,V,583,0.0682
iron,N,308,1.8516
iron,V,290,0.6714
irritability,N,519,0.2923
is,V,193,4.5842
islam,N,626,0.8871
israel,N,547,1.6519
it,F,187,4.048
italy,N,469,1.5128
its,F,243,3.1909
itself,F,316,2.4489
jaguar,N,493,0.7016
jamaica,N,538,0.8189
january,N,302,1.6086
japan,N,467,1.4803
jealousy,N,448,1.1621
jehovah's witness,N,607,-1.5539
jersey,N,527,1.0048
jew,N,473,1.9284
jeweller,N,435,0.1461
jewish,N,480,1.6646
jewish orthodox,N,624,-1.5539
job,N,327,2.5228
jog,V,551,0.661
join,V,359,2.1611
joiner,N,478,-0.0223
joint,N,402,1.4311
joke,V,364,1.0525
jonquil,N,603,-1.5539
journalist,N,534,1.4991
judaism,N,631,0.5391
judge,N,448,1.7683
judge,V,458,1.6033
judo,N,536,0.2788
juggler,N,422,-0.2529
jury,N,504,1.5045
just,F,359,3.1329
kangaroo,N,368,0.4281
keenness,N,467,-0.1079
keep,V,282,2.8188
ken,N,544,-1.5539
kenya,N,560,0.7642
khaki,N,469,0.0043
kick,V,243,1.6239
kid,N,297,1.8967
kill,V,329,2.3219
kind,A,267,1.3382
kind,N,361,2.6957
king,N,264,1.9985
kingdom,N,342,1.5023
kit out,V,510,-1.5539
kitchen,N,234,2.0469
kitchen maid,N,417,-1.5539
kitten,N,213,0.8475
kiwi,N,544,0.0492
knead,V,439,0.4639
knight,N,396,1.1182
knock,N,290,0.8837
knock,V,262,1.7299
know,V,275,3.3271
koala,N,486,-0.3468
korea,N,622,0.8439
labour,N,480,1.9722
labour,N,538,2.2337
labourer,N,491,1.1655
land,N,323,2.4125
landlord,N,432,1.4622
landscape,V,568,0.3269
language,N,432,2.1923
lapis lazuli,N,644,-1.5539
large,A,284,2.6411
largesse,N,607,0.0253
lark,N,390,0.586
last,A,275,-1.5539
late,A,277,2.7996
later,F,325,2.7996
latter-day saint,N,641,-1.5539
latvia,N,633,-1.5539
laugh,N,230,1.4032
lavender,N,374,0.1931
lay,V,344,2.083
layer,N,435,1.5331
leadership,N,518,1.6033
leaning,N,560,0.1614
leap,V,352,1.4867
learn,V,280,2.4894
learnt,A,324,2.4894
lease,V,560,0.4099
least,F,359,2.3968
lebanon,N,624,1.0026
lecture,V,533,1.0327
lecturer,N,549,1.1126
left,A,280,1.8216
leg,N,165,2.2441
lengthen,V,432,0.7924
leopard,N,421,0.9261
less,F,298,2.3784
let,V,425,2.6352
liberal,N,590,1.3141
liberal democrat,N,643,-1.5539
librarian,N,445,0.7016
libya,N,612,0.716
lie,N,286,1.2986
lie,V,277,1.3106
liechtenstein,N,641,-0.1367
life,N,335,2.9214
lift,V,277,1.9453
light,V,295,1.7303
like,A,249,-1.5539
like,V,251,2.5147
likely,ADV,372,2.2635
lilac,N,421,0.6335
limited,A,500,1.709
linger,V,474,1.0795
link,V,452,1.6181
liquid,A,368,1.0568
liquid,N,366,1.2786
lisbon,N,612,-1.5539
listen,V,266,2.2489
listening,N,287,2.2489
lit,V,287,
lithuania,N,630,-1.5539
little,A,220,2.6514
live,V,297,2.7189
lizard,N,421,0.6448
llama,N,502,-0.3468
loan,N,502,1.5423
loan,V,482,0.3269
local,A,471,2.3955
local government,N,608,-1.5539
location,N,549,1.3621
logger,N,582,-0.301
lonely,A,396,1.4556
long,A,277,2.7188
look,V,238,3.1303
loony party,N,641,-1.5539
lorry,N,273,1.1219
lorry driver,N,290,-1.5539
lose,V,286,2.5315
lottery,N,611,0.3385
loud,A,256,1.4722
love,N,251,2.3548
love,V,297,2.3783
lovely,A,286,1.7944
loving,A,330,1.1881
low,A,290,2.2596
lumberjack,N,521,-0.2147
lust,N,610,1.012
lutherism,N,648,-1.5539
luxembourg,N,572,-1.5539
machine,N,361,2.09
machine tool operator,N,588,-1.5539
machinist,N,549,-0.4685
madder,N,478,-1.2218
made,V,292,3.3688
magenta,N,568,-0.5528
magic,N,308,1.3223
magic,V,417,-1.5539
magical,A,370,1.1199
magicly,ADV,484,-1.5539
magnolia,N,568,0.179
maid,N,353,1.237
main,A,383,2.2861
maintenance,N,544,1.3662
maintenance man,N,570,-1.5539
make,V,273,3.3688
malaya,N,596,0.4548
malaysia,N,613,0.4639
malice,N,566,0.8475
malta,N,564,0.2095
mam,N,286,0.42
man,N,176,3.213
manage,V,426,2.1068
manager,N,460,1.7415
manner,N,448,1.8898
many,F,318,2.9863
map,N,361,1.6051
map,V,473,0.5533
marinade,V,635,-0.5528
mark,N,299,1.7406
marmoset,N,624,-0.2147
maroon,N,510,-0.2986
married,A,336,1.7393
marten,N,611,-0.1367
marvelous,A,417,1.5798
mash,V,331,0.6662
mass,N,487,2.0427
match,V,426,1.4914
material,N,376,2.1663
mathematics,N,439,1.4202
matter,N,404,2.4461
mature,A,527,1.152
mature,V,525,0.9203
mauritius,N,628,-0.1739
mauve,N,482,0.1271
may,V,308,3.1588
maybe,F,310,2.1319
me,F,157,3.3813
meal,N,239,1.9591
mean,V,344,2.8653
meaning,N,392,1.8071
meanness,N,427,0.316
measure,N,411,1.8638
measure,V,366,1.554
measurement,N,396,0.8932
mechanism,N,516,1.4146
meditate,V,598,0.525
meet,V,305,2.3685
melt,V,303,1.3866
memorise,V,424,0.6021
memory,N,389,1.9469
mend,V,297,0.9263
menial,A,564,0.1461
meritocracy,N,648,-0.6576
metallurgy,N,646,-0.1367
methodism,N,592,-0.6576
methodist,N,527,0.0253
mexico,N,542,1.4183
miaow,V,245,-1.5539
mice,N,226,1.2658
microbiology,N,646,-0.1079
microwave,V,635,-1.5539
milkman,N,243,0.2253
mind,N,336,2.5259
minder,N,499,0.6042
mine,F,217,1.9013
miner,N,346,1.214
mineralogy,N,646,-1.5539
mink,N,566,0.503
minus,F,327,0.8116
minute,N,271,2.4524
mirage,N,516,0.4953
mirth,N,509,0.316
miserable,A,379,1.2785
miserliness,N,555,-1.2218
mislead,V,510,1.1752
misrepresent,V,585,0.238
mix,N,417,0.837
mix,V,325,1.7062
moan,V,372,1.1219
model,V,471,0.7059
modernise,V,560,0.699
mohammedanism,N,648,-1.2218
molecular,A,641,0.48
molecular biology,N,650,-1.5539
momentum,N,598,1
monaco,N,605,-1.5539
monarchy,N,506,0.6284
mongolia,N,596,-0.0757
monk,N,445,0.962
monkey,N,269,1.2577
monster raving loony,N,644,-1.5539
month,N,297,2.5002
mood,N,381,1.7166
moose,N,497,-0.1067
mop,V,331,0.7557
moral,N,519,0.9025
more,F,228,3.0871
mormon,N,635,-0.1079
morning,N,213,2.4952
morocco,N,590,0.4378
most,F,286,2.456
motion,N,419,1.5996
motivate,V,570,1.0191
mould,V,476,0.8837
move,V,282,2.631
movement,N,346,2.3987
mozambique,N,631,0.4639
mp,N,549,1.2603
much,F,295,3.457
muddle,N,329,0.6866
mug,V,568,0.0694
multiply,V,346,1.1553
murder,V,426,1.3955
muse,V,575,0.5185
museum,N,426,1.5587
musician,N,402,1.1671
muslim,N,622,0.7597
muslim league,N,652,-1.5539
must,V,273,2.9652
mustard,N,331,0.6714
my,F,189,3.4173
myself,F,245,2.4301
myth,N,482,1.4487
name,N,245,2.5262
name,V,312,1.7638
narrow,V,426,1.1753
nasty,A,249,1.3916
nationalist,N,637,0.9143
natural,A,424,2.1965
naturally,ADV,465,1.8437
navigator,N,523,0.0043
near,F,260,2.0538
nearly,F,284,2.139
neatness,N,385,0.2648
necessary,A,402,2.2094
need,V,329,2.7452
neighbourliness,N,523,-0.7696
neither,F,372,1.5382
nepal,N,611,0.1271
nervousness,N,478,0.734
netherlands,N,536,0.7513
never,F,301,2.9531
new,A,239,3.0295
new zealand,N,519,-1.5539
newsagent,N,394,0.1614
next,A,269,1.7388
nice,A,232,2.1782
niceness,N,372,-0.1739
nigeria,N,590,0.985
nightly,ADV,420,0.1931
nine,NUM,254,1.8684
no,F,122,-1.5539
noise,N,217,1.8889
noisiness,N,340,-0.7696
nominate,V,560,0.7292
non-conformist,N,613,-1.5539
none,F,267,0.9852
nor,F,366,2.2354
normally,ADV,413,1.8402
north,N,372,1.7326
north africa,N,547,-1.5539
north korea,N,635,-1.5539
norway,N,532,0.9232
not,F,231,3.7084
note,N,325,2.0637
nothing,F,273,2.7026
notice,N,383,1.7217
notice,V,366,2.1132
now,F,221,1.8577
nowhere,F,305,1.4819
nuclear,A,616,2.1892
nuclear science,N,639,-1.5539
nun,N,409,1.019
nurse,N,303,1.6916
nurse,V,363,0.929
nursery,N,331,1.5106
nursery nurse,N,538,-1.5539
nurture,V,583,0.7803
o'clock,F,269,1.7357
obedience,N,372,0.8644
obey,V,316,1.422
object,N,398,2.0164
oboist,N,626,-0.9586
obstruct,V,495,0.567
obviously,ADV,467,2.0935
occasion,N,458,2.0206
oceanography,N,639,-1.2218
odd,A,316,1.7913
oddity,N,478,0.525
of,F,241,4.4796
off,F,219,1.9763
off white,N,476,-1.5539
offer,V,389,2.3121
office,N,372,2.4491
office cleaner,N,497,-1.5539
officer,N,443,2.1475
often,F,329,2.6721
oh,F,243,2.6587
oil-rig,N,585,-1.5539
oil-rig worker,N,603,-1.5539
okapi,N,635,-0.6576
okay,F,346,1.5
old,A,260,2.9312
older,A,295,2.9312
oldest,A,308,2.9312
oldfashioned,A,422,-1.5539
oligarchy,N,644,-0.0506
on,F,193,3.7851
once,F,239,2.4501
one,F,193,2.6177
only,F,271,3.2089
opening,N,409,1.3557
operate,V,467,1.9162
operator,N,497,1.2785
ophthalmology,N,644,-0.9586
opinion,N,489,1.974
opinionated,A,598,-0.0506
opposite,A,407,1.5402
optician,N,493,0.0253
optometrist,N,635,-1.5539
optometry,N,644,-1.5539
or,F,256,3.6312
orang-utan,N,510,-0.1871
orb,N,547,-0.0757
order,N,372,2.4616
order,V,383,1.9349
orderliness,N,504,0.179
ordinary,A,383,1.9819
organisation,N,496,2.2068
organise,V,467,1.7924
orifice,N,607,0.0253
original,A,491,1.9298
originally,ADV,506,1.4984
ostrich,N,427,0.4284
other,F,325,3.2154
otherwise,A,409,1.9284
ought,V,404,2.0131
ounce,N,353,1.1604
our,F,254,3.1094
ours,F,264,1.4081
ourselves,F,324,1.9019
out,F,231,-1.5539
outcast,N,502,0.3032
outcast,V,555,-1.5539
outside,F,253,1.9636
outstanding,A,496,1.1833
outwear,V,555,-1.2218
outworn,A,529,-0.4089
over,F,284,3.0041
owe,V,390,1.4338
own,F,311,2.9442
own,V,352,1.951
owner,N,359,1.785
oxen,N,438,0.8075
paediatrician,N,637,0.1271
page,N,258,1.9929
pageboy,N,394,-1.5539
pain,N,266,1.9247
paint,V,238,1.8561
painter,N,324,1.4771
pakistan,N,608,1.2227
panda,N,452,0.0899
panther,N,480,0.9201
paper,N,225,2.3534
paper,V,370,0.1451
parachute,V,467,-0.4089
paraguay,N,621,0.2095
parent,N,309,2.5014
park,N,251,1.8527
park,V,432,1.3926
parliamentarian,N,630,0.1931
parrot,N,337,0.5988
parsee,N,652,-1.2218
part,F,324,0.9976
part,N,333,2.7573
part,V,384,1.5098
participate,V,527,1.3336
partition,N,493,0.98
partition,V,555,0.0492
party,N,250,2.654
party,V,465,-1.5539
passion,N,549,1.5607
past,N,339,2.0192
pasteurism,N,641,-1.5539
pat,V,242,1.2272
pathology,N,632,0.1931
pause,N,403,1.3745
pause,V,412,1.6176
pay,N,322,1.3568
pay,V,319,2.5443
payment,N,401,1.6776
peace,N,381,1.9502
peacock,N,364,0.5855
peahen,N,460,-1.2218
pearl,N,374,1.0589
peel,N,279,0.2385
peel,V,275,0.9877
penetrate,V,534,1.237
penguin,N,392,0.7014
pentecostalist,N,650,-1.5539
people,N,290,3.1711
perfectly,ADV,411,1.8187
perhaps,F,355,2.6759
permit,V,443,1.6353
person,N,322,2.4197
peru,N,596,0.8338
peruse,V,609,-0.1739
pharmaceutics,N,650,-1.5539
pharmacist,N,603,0.1614
pharmacology,N,644,-0.7696
pharmacy,N,600,0.179
philanthropic,N,644,-0.3468
photograph,N,333,1.7761
photograph,V,385,1.0735
phrase,N,467,1.6562
physics,N,557,1.2537
physiology,N,633,0.6284
pianist,N,394,0.6448
pick,V,273,2.2768
pickpocket,V,478,-1.5539
picture,N,232,2.2403
picture,V,407,0.7109
piece,N,264,2.2354
piglet,N,310,0.3263
pillage,V,560,0.0043
pilot,N,417,1.3314
pinch,V,288,0.975
pine marten,N,611,-1.5539
pink,N,277,1.2385
pint,N,327,1.1753
piper,N,407,0.316
pitman,N,463,0.9619
pity,V,415,0.4714
place,N,329,2.8075
place,V,394,2.0029
plague,N,478,0.8579
plaid cymru,N,644,-1.5539
plan,N,413,2.1302
plan,V,434,2.2261
plane,V,522,0.0482
planner,N,557,1.1069
plant,N,293,2.0834
plant,V,308,1.4779
plasterer,N,497,0.0043
play,N,195,2.1383
pleasant,A,401,1.6228
pleasantness,N,480,-0.5528
plenty,F,325,1.7202
pliable,A,549,0.0259
plod,V,471,0.5465
plumber,N,427,0.5729
plus,F,317,1.6222
plutocracy,N,650,-0.6576
plutocrat,N,650,-0.4685
poach,V,450,0.6767
point,N,379,2.6384
point,V,279,2.1201
poison,N,370,1.152
poison,V,413,1.2272
poland,N,542,-1.5539
polar bear,N,379,-1.5539
polecat,N,555,-0.6576
police,N,292,2.3146
policeman,N,264,1.579
polish,V,305,1.3223
pomp,N,542,0.2648
ponder,V,532,0.9877
pony,N,267,1.1554
poor,A,284,2.3184
poorly,A,282,-0.0506
pop,V,323,1.2785
porpoise,N,538,0.3263
portent,N,628,0.1931
porter,N,471,1.1416
portray,V,560,0.943
portugal,N,560,0.6107
posh,A,407,0.4456
possible,A,389,2.5278
post,N,366,1.9333
post,V,288,0.9055
postman,N,256,0.4955
pothole,V,555,-1.5539
pound,N,340,2.4184
pour,V,269,1.8973
power,N,428,2.5367
practicality,N,572,0.3263
practice,N,417,2.0475
praise,V,402,1.2272
pray,V,308,1.4504
preacher,N,421,0.6222
precinct,N,593,0.5328
predict,V,532,1.459
prefer,V,435,1.915
premier,N,590,0.5328
prepare,V,411,1.9004
presbyterian,N,594,-0.4089
presbyterianism,N,626,-1.2218
present,A,308,2.1763
present,N,221,1.2243
present,V,480,1.9959
presentable,A,499,0.1785
preserve,V,482,1.6033
pretty,F,273,1.8755
previous,A,437,1.8674
price,N,355,2.2058
price,V,437,0.7559
prime minister,N,499,-1.5539
prince,N,305,1.5898
princess,N,295,1.1237
printer,N,465,0.8774
priority,N,544,1.5053
prison,N,385,1.9058
prison warder,N,504,-0.1554
produce,V,454,2.3903
product,N,469,1.9278
proffer,V,609,0.5798
profit,N,516,1.842
programmer,N,633,0.3483
progress,N,465,1.815
progress,V,486,1.2185
progressive,A,566,1.2214
prohibit,V,519,0.8743
prohibition,N,603,0.8041
promise,N,325,1.5758
promise,V,322,1.8791
promote,V,534,1.5151
promptness,N,504,-0.3468
prophesy,V,521,0.3711
prophet,N,488,1.1928
propose,V,501,1.801
protect,V,409,1.933
protestant,N,510,0.5922
proximity,N,583,0.6561
prune,V,495,0.4004
prussian,N,616,0.1461
prussian blue,N,596,-1.5539
psychiatry,N,628,1.0546
psychic,N,626,-0.4685
psychology,N,628,1.3557
public,A,441,2.4094
publican,N,532,0.1614
publish,V,510,1.9361
puce,N,598,-0.1367
puma,N,529,-0.6576
pump,V,383,1.2413
pumpkin,N,413,0.3263
punch,V,301,1.0167
punchcard,N,624,-1.5539
punctual,A,467,0.0024
punish,V,336,1.3714
pure,A,394,1.6832
purple,N,338,0.7559
push,N,247,1.0955
push,V,239,2.0964
pushiness,N,491,-1.2218
put,V,256,2.9063
quad,N,519,-0.7696
quaker,N,588,0.1931
quarrel,N,351,1.1292
query,N,499,0.7202
quick,A,269,1.8157
quickly,ADV,284,2.1748
quiet,N,221,-1.5539
quilt,V,542,-0.9518
quin,N,553,-0.9586
quite,F,396,2.7413
quote,V,512,1.6093
race,V,279,1.3371
racoon,N,540,-0.4497
rag,N,295,1.0835
rage,N,389,1.4755
raise,V,381,2.245
ramble,V,473,0.2648
ran,V,221,2.6449
range,N,476,1.9959
rape,V,624,1.019
rare,A,458,1.7294
rascal,N,359,0.2095
rash,N,305,0.9055
rat,N,279,1.3856
ratio,N,544,1.276
rattle,N,195,0.4795
rattle,V,269,1.172
reach,V,271,2.4077
ready,A,260,2.0982
real,A,310,2.4758
realise,V,435,2.3054
really,ADV,364,2.7731
rear,N,407,1.3492
reason,N,396,2.516
reason,V,467,0.9776
rebuke,V,527,0.5024
receive,V,374,2.1997
recent,A,428,2.0058
receptionist,N,520,0.5465
reckon,V,450,1.3426
recognise,V,383,2.1399
recommend,V,491,1.637
record,V,493,1.7184
recover,V,428,1.6182
red,N,213,1.2455
redeem,V,546,0.7059
reduce,V,463,2.0749
referendum,N,637,0.9201
referendum party,N,652,-1.5539
reflect,V,523,1.892
reform,V,560,0.9903
refrain,V,544,0.819
refund,N,506,0.1072
regain,V,521,1.1219
regard,V,532,2.0167
region,N,471,1.7587
register,N,327,1.0349
register,V,437,1.4444
reject,V,491,1.7782
relax,V,448,1.7285
reliability,N,525,0.5185
reliable,A,488,1.2887
relieve,V,495,1.3651
religion,N,383,1.76
remake,V,473,0.2095
remember,V,327,2.5626
remit,V,590,-0.1079
remove,V,387,2.0178
remover,N,487,-0.0223
renege,V,624,-0.3468
renew,V,469,1.2258
renovate,V,557,0.2253
rent,V,420,1.4632
repair,V,344,1.0652
repeat,N,425,0.1451
repeat,V,372,1.8198
report,N,401,2.1658
represent,V,527,2.0094
representative,N,566,1.6725
repress,V,605,0.7471
repression,N,611,1.063
reprimand,V,536,0.2648
reptile,N,456,0.7885
research,V,572,0.4373
researcher,N,598,1.0523
resist,V,501,1.6157
resolve,V,560,1.4014
respect,V,469,1.4739
response,N,471,1.9174
rest,V,297,1.7198
restore,V,495,1.5165
retreat,V,467,1.23
return,N,398,1.9607
return,V,387,2.3463
rev,V,555,0.179
reveal,V,508,1.897
revere,V,583,0.5729
revert,V,594,-1.5539
revitalise,V,605,0.301
reward,V,396,1.211
rhinoceros,N,424,0.2243
ride,V,243,1.7553
rig,V,547,0.6042
right,F,256,2.4966
righteousness,N,527,0.316
ring,V,331,1.958
rinse,V,340,0.9145
ripen,V,402,0.5465
rise,V,344,2.2895
river,N,254,2.1066
road digger,N,420,-1.5539
road layer,N,491,-1.5539
roadsweeper,N,389,-1.5539
roast,V,351,0.9646
rob,V,346,1.1654
roman catholic,N,480,-1.5539
romania,N,598,0.1931
roof,V,519,0.1451
roost,N,443,-0.0757
rose,N,301,1.3281
rot,V,387,1.0674
rotten,A,374,1.0817
roughen,V,488,-0.0506
roughly,ADV,435,1.4698
round,F,267,2.2002
round,V,469,1.2441
row (rhyme with doe),V,389,1.0792
royal,A,364,1.8807
royalty,N,389,0.7767
rubbish,N,301,1.2185
rudeness,N,376,0.3483
rue,V,572,-0.301
rule,N,394,2.0943
runner,N,336,1.4922
rush,N,412,1.1849
rush,V,344,1.7067
russia,N,512,1.5165
russian orthodox,N,648,-1.5539
rwanda,N,650,-0.5528
sad,A,258,1.6882
sadden,V,430,0.5185
sadness,N,370,0.9345
safety officer,N,594,-1.5539
sagacity,N,641,-0.4078
sage,A,516,-0.2115
sage,N,588,0.5984
sahel,N,646,-1.5539
sail,V,317,1.3022
sailor,N,308,1.0715
salesman,N,463,1.0418
salmon,N,398,1.0896
sandwich,N,260,1.012
sat,V,202,2.6999
satisfy,V,432,1.754
saudi arabia,N,613,-1.5539
savage,A,467,1.0631
save,V,336,2.0872
saw,V,336,0.5395
say,V,264,3.631
scarce,A,430,1.0259
scarcely,ADV,471,1.4907
scarlet,N,409,-0.0768
scientist,N,512,1.7901
scold,V,392,3.8465
scotland,N,357,-1.5539
scottish,A,383,1.3107
scottish democrat,N,652,-1.5539
scoundrel,N,465,0.2253
scour,V,469,0.6665
scowl,V,432,0.7384
scramble,V,402,1.167
scrape,V,348,1.0934
scream,V,288,1.6857
screwdriver,N,342,0.503
scrub,V,318,1.0212
scruple,N,585,0.3909
scrutinise,V,592,0.6021
sculpt,V,590,0.0682
sculptor,N,564,0.716
scurry,V,536,0.6866
sdp,N,650,-1.5539
sea,N,221,2.2388
seal,N,376,1.1537
seal,V,415,1.2577
seaman,N,381,0.628
second,N,329,1.9817
second,NUM,286,2.4125
secretary,N,482,1.9934
secretary of state,N,635,-1.5539
sect,N,611,0.6767
see,V,239,3.3149
seismology,N,650,-0.9586
seldom,F,460,1.518
self-confidence,N,540,0.711
self-discipline,N,568,0.2529
self-reliant,A,581,0.2253
selfishness,N,447,0.5922
sell,V,340,2.1615
senator,N,620,1.2398
send,V,314,2.4304
sense,N,370,2.4381
senselessness,N,523,-0.9586
sentence,N,357,1.698
sentence,V,497,1.0145
separate,V,402,1.7033
sepia,N,579,-0.0506
serious,A,400,2.1345
session,N,529,1.6093
set,N,381,2.0181
set,V,383,2.4977
seven,NUM,239,2.0763
seventh day adventist,N,646,-1.5539
several,F,385,2.3812
severe,A,432,1.5533
severity,N,512,0.6335
sew,V,282,1.0503
seychelles,N,622,-0.2147
shake,V,284,2.1199
shall,V,288,2.3618
shame,N,366,1.3694
shape,N,297,1.9007
share,N,299,1.8157
share,V,277,2.077
she,F,195,3.6162
sheep,N,208,1.6033
sheetmetal,N,577,-1.5539
sheetmetal worker,N,597,-1.5539
shelter,N,385,1.4165
shinto,N,648,-0.9586
shipbuilder,N,491,0.3385
shipwright,N,581,-0.7696
shock,V,413,1.4969
shop,N,221,2.1053
shop,V,271,0.9115
shop assistant,N,346,-1.5539
shopkeeper,N,329,0.7559
shopkeeping,N,422,-1.5539
shoplift,V,536,-0.9586
shopping,N,318,1.3469
short,A,295,2.305
shorten,V,383,0.8993
shorter,A,346,2.305
shorthand,N,560,0.7427
shorthand typist,N,575,-1.5539
shot,V,340,1.873
should,V,327,2.9966
shout,V,247,1.9244
show,V,277,2.6712
shower,V,484,0.7471
shrew,N,544,0.3711
shriek,V,374,1.0652
shrink,V,404,1.3084
shuffle,V,394,1.0715
shut,V,260,1.8544
shy,A,286,1.2271
shyness,N,366,0.5599
siam,N,616,-1.5539
sicily,N,590,0.7767
side,N,295,2.6579
sift,V,454,0.5988
sight,N,331,2.0067
sign,N,342,2.1446
signal,N,364,1.7773
signal,V,396,1.1328
sikh,N,626,0.3909
silence,V,460,0.8964
silliness,N,381,0.0043
silly,A,299,1.6567
similar,A,415,2.0648
simmer,V,460,0.943
simple,A,336,2.2398
since,F,357,2.2314
sinfulness,N,514,-0.2147
sing,V,221,1.8954
singapore,N,570,0.6866
single,A,379,2.1482
sink,N,236,1.1638
sink,V,318,1.6975
sinn fein,N,635,-1.5539
sister,N,208,2.0566
site,N,445,1.8967
six,NUM,232,2.3263
size,N,308,2.0892
skate,V,357,0.4284
sketch,V,417,0.7846
ski,V,473,0.8002
skill,N,463,1.9103
skip,V,288,0.9727
skivvy,N,512,-0.9586
skivvying,N,555,-1.5539
skunk,N,501,-0.6508
sky,N,219,1.9241
sky blue,N,336,-1.5539
slam,V,331,1.1833
slander,V,572,-0.1739
slap,V,284,1.217
slaughter,N,495,1.063
slave,N,417,1.5231
slavery,N,460,0.8743
sleep,V,193,2.11
slice,N,269,1.2441
slice,V,320,1.0673
slide,V,247,1.5437
slim,V,516,-0.0757
slipper,N,251,0.9458
sloth,N,577,0.3263
slovakia,N,646,-1.5539
slowly,ADV,284,2.1206
smack,N,215,0.0482
smack,V,234,0.7765
small,A,217,2.7792
smell,N,243,1.697
smell,V,241,1.6766
smile,N,215,1.9197
smile,V,211,2.2083
smoke,V,348,1.6481
smooth,V,392,1.0438
smother,V,471,0.8263
snooze,V,420,-0.1079
snow,N,206,1.7893
snow,V,230,0.6164
snowball,V,256,-0.0757
so,F,243,3.3594
sob,V,292,1.0349
social,A,510,2.604
social democrat,N,644,-1.5539
social worker,N,635,-1.5539
socialism,N,635,1.5061
socialist,N,633,1.4731
sociology,N,648,1.0546
soft,A,239,1.9127
soften,V,357,0.98
solicitor,N,549,1.3349
solid,A,394,1.6437
solid,N,447,0.6812
solve,V,420,1.7193
somalia,N,637,0.0682
some,F,264,3.2639
somebody,F,292,1.8684
somehow,F,342,1.8788
something,F,299,2.8173
sometimes,F,295,2.4653
son,N,249,2.3141
soon,F,234,2.5
sooner,F,310,2.5
soothe,V,376,0.8609
sorry,A,230,1.9789
sort,N,376,2.5295
sort,V,359,1.6039
